,company,summary,overall_ratings,Sentiment
1,google,Best Company to work for,5.0,POSITIVE
2,google,"Moving at the speed of light, burn out is inevitable",4.0,NEUTRAL
3,google,"Great balance between big-company security and fun, fast-moving projects",5.0,POSITIVE
4,google,The best place I've worked and also the most demanding.,5.0,POSITIVE
5,google,"Unique, one of a kind dream job",5.0,POSITIVE
6,google,NICE working in GOOGLE as an INTERN,5.0,POSITIVE
7,google,Software engineer,5.0,NEUTRAL
8,google,great place to work and progress,5.0,POSITIVE
9,google,Google Surpasses Realistic Expectations,5.0,POSITIVE
10,google,Execellent for engineers,5.0,NEUTRAL
11,google,Nice place to work,5.0,POSITIVE
12,google,Software Engineer,5.0,NEUTRAL
13,google,Best Company to Work For!,5.0,POSITIVE
14,google,Still the best place to work!,5.0,POSITIVE
15,google,Mba Intern,5.0,NEUTRAL
16,google,Review,5.0,NEUTRAL
17,google,Review of Google,5.0,NEUTRAL
18,google,Analysts,5.0,NEUTRAL
19,google,Great Company With No Down Sides,5.0,POSITIVE
20,google,Senior Account Manager,5.0,NEUTRAL
21,google,"Great, but great can always be better",5.0,POSITIVE
22,google,Great company to work for,5.0,POSITIVE
23,google,,5.0,
24,google,Software Engineer,5.0,NEUTRAL
25,google,Accountant,5.0,NEUTRAL
26,google,Good Company to Work for,5.0,POSITIVE
27,google,Great culture,5.0,POSITIVE
28,google,"Not perfect, but still the best place in the world to work",5.0,MIXED
29,google,Great place to work,5.0,POSITIVE
30,google,Great,5.0,POSITIVE
31,google,IT Employee,5.0,POSITIVE
32,google,Senior Director,3.0,NEUTRAL
33,google,Is very good,5.0,POSITIVE
34,google,Google is still the best place to be,4.0,POSITIVE
35,google,Google,5.0,NEUTRAL
36,google,Good place to work,5.0,POSITIVE
37,google,Senior Software Engineer,4.0,NEUTRAL
38,google,Good compensation,4.0,NEUTRAL
39,google,"Great perks, bad work-life balance",3.0,MIXED
40,google,Best of the best,5.0,POSITIVE
41,google,Manager,4.0,NEUTRAL
42,google,Hard to beat,5.0,POSITIVE
43,google,Big Tech,3.0,NEUTRAL
44,google,Great place to work,5.0,POSITIVE
45,google,Positive Experiences,5.0,POSITIVE
46,google,Great pay,5.0,POSITIVE
47,google,Make sure you know what role you're applying for,5.0,NEUTRAL
48,google,Its Google,4.0,NEUTRAL
49,google,g,4.0,NEUTRAL
50,google,meh,3.0,NEGATIVE
51,google,Good place,5.0,POSITIVE
52,google,cs analyst,4.0,NEUTRAL
53,google,Best Job I Ever Had,5.0,POSITIVE
54,google,Amazing,5.0,POSITIVE
55,google,Top Tech Company in the World,5.0,POSITIVE
56,google,Depends on what you're looking for,2.0,NEUTRAL
57,google,Senior Software Engineer,4.0,NEUTRAL
58,google,Google Summer Internship,5.0,NEUTRAL
59,google,good place,4.0,POSITIVE
60,google,"Good Company, can be long hours",4.0,POSITIVE
61,google,Project Manager,5.0,NEUTRAL
62,google,Great working environment,5.0,POSITIVE
63,google,not too bad,3.0,NEGATIVE
64,google,Outstanding,5.0,POSITIVE
65,google,IT Intern,5.0,NEUTRAL
66,google,"Great benefits, but large enough to get lost in.",4.0,MIXED
67,google,Good work life balance and perks,5.0,POSITIVE
68,google,Engineer,3.0,NEUTRAL
69,google,Amazing place to work,5.0,POSITIVE
70,google,Associate Account Strategist,5.0,NEUTRAL
71,google,Nice company,5.0,POSITIVE
72,google,Love to work here!,5.0,POSITIVE
73,google,outstanding performance given by the staff,5.0,POSITIVE
74,google,Like a dream,5.0,POSITIVE
75,google,great to work for,5.0,POSITIVE
76,google,"Amazing place to work, challenging environment",5.0,POSITIVE
77,google,Great place,5.0,POSITIVE
78,google,Good company that I like,5.0,POSITIVE
79,google,Software Engineer,4.0,NEUTRAL
80,google,Account Manager,5.0,NEUTRAL
81,google,Google work life balance,4.0,NEUTRAL
82,google,Not great for new hires,4.0,NEGATIVE
83,google,Analyst,4.0,NEUTRAL
84,google,Intern,4.0,NEUTRAL
85,google,"Great perks, interesting colleagues, zero work/life balance",3.0,POSITIVE
86,google,Senior Software Engineer,5.0,NEUTRAL
87,google,Perks/work environment still unmatched by any other company,5.0,POSITIVE
88,google,Head of Sales,4.0,NEUTRAL
89,google,"Great people and culture, solid benefits, lots of opportunities",5.0,POSITIVE
90,google,,5.0,
91,google,Great place,5.0,POSITIVE
92,google,UX Engineer,5.0,NEUTRAL
93,google,China Search Project is Concerning,2.0,NEGATIVE
94,google,Software Engineer,4.0,NEUTRAL
95,google,Administrative Business Partner - Sales,3.0,NEUTRAL
96,google,Perfect,5.0,POSITIVE
97,google,Great place to work,5.0,POSITIVE
98,google,Research Intern,5.0,NEUTRAL
99,google,Software Engineer,5.0,NEUTRAL
100,google,Great job with lots of benefits,4.0,POSITIVE
101,google,Google - as magical as you think it is,5.0,NEUTRAL
102,google,Manager,5.0,NEUTRAL
103,google,pockets of incompetence,1.0,NEGATIVE
104,google,Creative Lead,5.0,POSITIVE
105,google,Janitor,4.0,NEUTRAL
106,google,Counsel,4.0,NEUTRAL
107,google,Product Manager,5.0,NEUTRAL
108,google,wonderful place to work,5.0,POSITIVE
109,google,Customer Engineer Google Cloud,5.0,NEUTRAL
110,google,"Great work environment, odd team assignment",4.0,POSITIVE
111,google,Average with a hint of arrogance,3.0,NEUTRAL
112,google,"Great place to work, but too many unmotivated leaders",5.0,MIXED
113,google,Great company to work at,5.0,POSITIVE
114,google,Bleh,4.0,NEGATIVE
115,google,Software Engineer,5.0,NEUTRAL
116,google,Group Product Manager,5.0,NEUTRAL
117,google,java,5.0,NEUTRAL
118,google,Amazing place,5.0,POSITIVE
119,google,contractor,4.0,NEUTRAL
120,google,Amazing time and work!,5.0,POSITIVE
121,google,Great company,5.0,POSITIVE
122,google,Analyst,3.0,NEUTRAL
