,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
"""The Astronomer"" Chardonnay 2016 De Bortoli",61.0,54.0,6.99,white wine,australian,new world,,,0.8852459016393442
"'Angels' Share' Shiraz 2015 Two Hands, McLaren Vale",34.0,34.0,21.99,red wine,australian,new world,,,1.0
A Lisa 2015 Bodega Noemía de Patagonia,16.0,15.0,28.0,fine wine,argentinian,new world,merlot,,0.9375
A Sticky End Noble Sauvignon Blanc Half Bottle,13.0,12.0,17.99,white wine,new-zealand,new world,,marlborough wine,0.9230769230769231
A.Gauvin Gevrey Chambertin 2015,3.0,3.0,40.0,fine wine,french,old world,,burgundy,1.0
AIX Rosé 2017 Coteaux d'Aix en Provence Magnum,36.0,34.0,26.99,rose wine,french,old world,,,0.9444444444444444
Abbott's & Delaunay Fruits Sauvage Sauvignon Blanc 2017,0.0,0.0,9.99,white wine,,,,,
Abbotts & Delaunay Viognier 2015,43.0,41.0,9.99,white wine,french,old world,,south of france,0.9534883720930233
Acacia Road Chenin Blanc,22.0,19.0,7.99,white wine,,,,,0.8636363636363636
Acacia Road Merlot,18.0,17.0,7.99,red wine,,,merlot,,0.9444444444444444
Acacia Road Pinotage,7.0,5.0,7.99,red wine,,,,,0.7142857142857143
Acacia Road Sauvignon Blanc,14.0,14.0,7.99,white wine,,,,,1.0
"Agenda, Dão Manager's Choice 2015",87.0,78.0,9.99,red wine,portuguese,old world,,,0.896551724137931
Alain Grignon Carignan Vieilles Vignes 2016 PGI Pays de l'Hérault,97.0,94.0,7.99,red wine,french,old world,,south of france,0.9690721649484536
Alamos Lujan De Cuyo Cabernet 2016,15.0,14.0,9.99,red wine,argentinian,new world,,,0.9333333333333333
Alamos Uco Valley Chardonnay 2016,13.0,13.0,9.99,white wine,argentinian,new world,chardonnay,,1.0
Alamos Uco Valley Malbec 2016/17,73.0,68.0,9.99,red wine,argentinian,new world,,,0.9315068493150684
Alamos Uco Valley Viognier 2016,10.0,6.0,9.99,white wine,argentinian,new world,,,0.6
Amarone Classico ?Vigneti di Roccolo? 2014 Cantina Negrar,49.0,48.0,22.99,red wine,italian,old world,,,0.9795918367346939
